Model Name,Dataset,Criterion,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
DilatedConvNet,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7344229221343994,0.5803067684173584,0.9543529152870178,0.7656123638153076,0.9307470321655273
DilatedConvNet,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7254464626312256,0.569176971912384,0.9594072699546814,0.7308038473129272,0.9308156967163086
DilatedConvNet,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7111512422561646,0.55177241563797,0.9694036841392517,0.6698717474937439,0.931941032409668
DilatedConvNet,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7053013443946838,0.544761061668396,0.9654873013496399,0.6762844324111938,0.929316520690918
UNetDeconv,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7020857334136963,0.5409337878227234,0.9689328074455261,0.6584951281547546,0.9301061630249023
DilatedConvNet,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.6945589184761047,0.5320491790771484,0.9378165006637573,0.7634925842285156,0.9160137176513672
DilatedConvNet,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.6945536136627197,0.5320430397987366,0.9822198748588562,0.5982187986373901,0.9341926574707031
DilatedConvNet,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.6944462656974792,0.5319170355796814,0.9801510572433472,0.6057752370834351,0.9333276748657227
DilatedConvNet,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.6703547835350037,0.5041606426239014,0.9785585999488831,0.5797812938690186,0.9286832809448242
DilatedConvNet,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.6579675078392029,0.49027687311172485,0.9847704768180847,0.5425098538398743,0.9294567108154297
