Model,Dataset,Criterion Description,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
EncDec_base,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8795344829559326,0.7895132303237915,0.9534846425056458,0.8278600692749023,0.8826124191284179
EncDec_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8761339068412781,0.7828613758087158,0.9611043334007263,0.8159680843353272,0.8778536796569825
EncDec_base,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8735104680061341,0.7810738205909729,0.9790613174438476,0.7994572401046753,0.875919246673584
UNetDilated,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8718415975570679,0.7780018210411072,0.9800395131111145,0.7937205195426941,0.8741510391235352
EncDec_base,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.867405378818512,0.7706545710563659,0.9827480673789978,0.7851800441741943,0.8723320007324219
EncDec_base,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8645030856132507,0.7671085357666015,0.981560206413269,0.784625256061554,0.8696119308471679
EncDecStride,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8578366160392761,0.7575060963630676,0.9805449724197388,0.7749820351600647,0.8660698890686035
EncDec_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8525733947753906,0.7491626024246216,0.9744348406791687,0.7712713360786438,0.8599710464477539
EncDecStride,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8474555850028992,0.7424433708190918,0.9774213194847107,0.7611068487167358,0.8566950798034668
UNetDeconv,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8466738104820252,0.7395226359367371,0.9533015251159668,0.7843285441398621,0.8543986320495606
EncDecStride,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8434629797935486,0.7368912100791931,0.9845193862915039,0.750971007347107,0.8526594161987304
UNetDilated,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8450246095657349,0.7358501076698303,0.9505732774734497,0.7787735819816589,0.8559497833251953
EncDec_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8426263213157654,0.7354379296302795,0.9897349596023559,0.7433822989463806,0.851899528503418
EncDec_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8413957715034485,0.7335473895072937,0.9906864523887634,0.7412487506866455,0.8494021415710449
DilatedConvNet,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8413179993629456,0.7322082281112671,0.9626649618148804,0.7682096838951111,0.853840446472168
UNetDeconv,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8381088018417359,0.7287675261497497,0.971900749206543,0.7549102544784546,0.8502540588378906
EncDecStride,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8351316809654236,0.7252442121505738,0.9748067021369934,0.7473975539207458,0.8459667205810547
DilatedConvNet,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8355791687965393,0.7223601341247559,0.9345369100570678,0.7795531392097473,0.8478215217590332
EncDec_base,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8309024214744568,0.7187596440315247,0.9871812105178833,0.7299862027168273,0.8439815521240235
DilatedConvNet,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8243656873703002,0.7080796122550964,0.9555788159370422,0.7469490528106689,0.8396195411682129
DilatedConvNet,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8086244702339173,0.6867507040500641,0.9510112524032592,0.7267883598804474,0.8285028457641601
EncDecStride,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8003548860549927,0.6770208179950714,0.983651340007782,0.6915149331092835,0.8170584678649903
DilatedConvNet,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7970246791839599,0.6717803120613098,0.9547650456428528,0.7060229539871216,0.8171236038208007
EncDec_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.656982147693634,0.509097957611084,0.0,1.0,0.509097957611084
EncDec_batchnorm_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
